Querter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2020,LAX,Los Angeles International,Los Angeles,CA,278.10,332.20," 941,283 "
2,2020,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,247.55,295.71," 768,604 "
2,2020,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,262.61,313.71," 744,001 "
2,2020,DEN,Denver International,Denver,CO,233.50,278.94," 743,828 "
2,2020,EWR,Newark Liberty International,Newark,NJ,301.79,360.50," 696,941 "
2,2020,BOS,Logan International,Boston,MA,254.67,304.21," 689,719 "
2,2020,SEA,Seattle/Tacoma International,Seattle,WA,270.65,323.31," 650,806 "
2,2020,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,288.01,344.05," 626,404 "
2,2020,MCO,Orlando International,Orlando,FL,208.57,249.15," 619,182 "
2,2020,SFO,San Francisco International,San Francisco,CA,312.67,373.50," 603,738 "
2,2020,PHX,Phoenix Sky Harbor International,Phoenix,AZ,249.26,297.75," 586,781 "
2,2020,LGA,LaGuardia,New York-La Guardia,NY,241.69,288.71," 548,754 "
2,2020,JFK,John F. Kennedy International,New York-JFK,NY,321.04,383.50," 542,893 "
2,2020,LAS,Harry Reid International,Las Vegas,NV,206.67,246.88," 505,713 "
2,2020,MSP,Minneapolis-St Paul International,Minneapolis,MN,267.34,319.35," 465,865 "
2,2020,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,335.12,400.32," 441,705 "
2,2020,PHL,Philadelphia International,Philadelphia,PA,258.11,308.32," 438,509 "
2,2020,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,218.52,261.03," 427,330 "
2,2020,SAN,San Diego International,San Diego,CA,264.22,315.63," 419,354 "
2,2020,DTW,Detroit Metro Wayne County,Detroit,MI,280.07,334.57," 412,494 "
2,2020,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,262.99,314.15," 380,547 "
2,2020,TPA,Tampa International,Tampa,FL,249.51,298.06," 375,092 "
2,2020,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,235.49,281.30," 355,097 "
2,2020,AUS,Austin - Bergstrom International,Austin,TX,263.61,314.90," 346,713 "
2,2020,MIA,Miami International,Miami,FL,246.70,294.69," 345,604 "
2,2020,PDX,Portland International,Portland,OR,272.05,324.98," 316,001 "
2,2020,BNA,Nashville International,Nashville,TN,224.56,268.25," 309,561 "
2,2020,SLC,Salt Lake City International,Salt Lake City,UT,297.77,355.70," 306,731 "
2,2020,CLT,Charlotte Douglas International,Charlotte,NC,320.12,382.41," 299,028 "
2,2020,RDU,Raleigh-Durham International,Raleigh/Durham,NC,260.44,311.11," 280,802 "
2,2020,SMF,Sacramento International,Sacramento,CA,251.70,300.67," 259,223 "
2,2020,HNL,Daniel K Inouye International,Honolulu,HI,268.87,321.18," 256,498 "
2,2020,MDW,Chicago Midway International,Chicago-Midway,IL,207.32,247.66," 256,060 "
2,2020,STL,St Louis Lambert International,St. Louis,MO,245.42,293.17," 228,095 "
2,2020,SJC,Norman Y. Mineta San Jose International,San Jose,CA,230.54,275.40," 220,072 "
2,2020,IAD,Washington Dulles International,Washington-Dulles,DC,322.66,385.44," 216,137 "
2,2020,MCI,Kansas City International,Kansas City,MO,248.73,297.12," 213,053 "
2,2020,SNA,John Wayne Airport-Orange County,Santa Ana,CA,274.94,328.43," 204,936 "
2,2020,DAL,Dallas Love Field,Dallas-Love Field,TX,216.92,259.12," 202,583 "
2,2020,CLE,Cleveland-Hopkins International,Cleveland,OH,228.26,272.68," 201,673 "
2,2020,OAK,Metro Oakland International,Oakland,CA,211.28,252.39," 200,137 "
2,2020,IND,Indianapolis International,Indianapolis,IN,242.96,290.23," 198,766 "
2,2020,MSY,Louis Armstrong New Orleans International,New Orleans,LA,237.95,284.25," 193,064 "
2,2020,SAT,San Antonio International,San Antonio,TX,262.70,313.81," 192,841 "
2,2020,PIT,Pittsburgh International,Pittsburgh,PA,248.91,297.34," 191,112 "
2,2020,SJU,Luis Munoz Marin International,San Juan,PR,216.20,258.27," 189,783 "
2,2020,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,214.79,256.58," 185,119 "
2,2020,CMH,John Glenn Columbus International,Columbus,OH,258.70,309.03," 169,279 "
2,2020,HOU,William P Hobby,Houston-Hobby,TX,235.24,281.01," 158,759 "
2,2020,BDL,Bradley International,Hartford,CT,254.12,303.57," 149,278 "
2,2020,RSW,Southwest Florida International,Fort Myers,FL,245.06,292.73," 145,234 "
2,2020,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,251.74,300.72," 138,930 "
2,2020,JAX,Jacksonville International,Jacksonville,FL,270.09,322.64," 136,835 "
2,2020,ONT,Ontario International,Ontario,CA,249.93,298.56," 133,763 "
