Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
4,2021,LAX,Los Angeles International,Los Angeles,CA,350.25,386.88," 941,283 "
4,2021,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,309.70,342.10," 768,604 "
4,2021,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,327.99,362.29," 744,001 "
4,2021,DEN,Denver International,Denver,CO,295.80,326.74," 743,828 "
4,2021,EWR,Newark Liberty International,Newark,NJ,331.69,366.38," 696,941 "
4,2021,BOS,Logan International,Boston,MA,347.43,383.77," 689,719 "
4,2021,SEA,Seattle/Tacoma International,Seattle,WA,346.47,382.71," 650,806 "
4,2021,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,338.24,373.62," 626,404 "
4,2021,MCO,Orlando International,Orlando,FL,241.01,266.22," 619,182 "
4,2021,SFO,San Francisco International,San Francisco,CA,400.66,442.57," 603,738 "
4,2021,PHX,Phoenix Sky Harbor International,Phoenix,AZ,312.37,345.05," 586,781 "
4,2021,LGA,LaGuardia,New York-La Guardia,NY,289.65,319.95," 548,754 "
4,2021,JFK,John F. Kennedy International,New York-JFK,NY,360.94,398.70," 542,893 "
4,2021,LAS,Harry Reid International,Las Vegas,NV,247.53,273.42," 505,713 "
4,2021,MSP,Minneapolis-St Paul International,Minneapolis,MN,338.11,373.47," 465,865 "
4,2021,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,334.98,370.02," 441,705 "
4,2021,PHL,Philadelphia International,Philadelphia,PA,340.07,375.64," 438,509 "
4,2021,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,233.36,257.77," 427,330 "
4,2021,SAN,San Diego International,San Diego,CA,352.58,389.46," 419,354 "
4,2021,DTW,Detroit Metro Wayne County,Detroit,MI,366.33,404.65," 412,494 "
4,2021,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,329.17,363.60," 380,547 "
4,2021,TPA,Tampa International,Tampa,FL,270.88,299.21," 375,092 "
4,2021,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,313.50,346.30," 355,097 "
4,2021,AUS,Austin - Bergstrom International,Austin,TX,310.99,343.52," 346,713 "
4,2021,MIA,Miami International,Miami,FL,263.76,291.35," 345,604 "
4,2021,PDX,Portland International,Portland,OR,364.40,402.52," 316,001 "
4,2021,BNA,Nashville International,Nashville,TN,292.70,323.32," 309,561 "
4,2021,SLC,Salt Lake City International,Salt Lake City,UT,356.30,393.57," 306,731 "
4,2021,CLT,Charlotte Douglas International,Charlotte,NC,356.60,393.90," 299,028 "
4,2021,RDU,Raleigh-Durham International,Raleigh/Durham,NC,317.89,351.14," 280,802 "
4,2021,SMF,Sacramento International,Sacramento,CA,333.16,368.01," 259,223 "
4,2021,HNL,Daniel K Inouye International,Honolulu,HI,332.77,367.58," 256,498 "
4,2021,MDW,Chicago Midway International,Chicago-Midway,IL,271.84,300.28," 256,060 "
4,2021,STL,St Louis Lambert International,St. Louis,MO,316.16,349.23," 228,095 "
4,2021,SJC,Norman Y. Mineta San Jose International,San Jose,CA,310.74,343.25," 220,072 "
4,2021,IAD,Washington Dulles International,Washington-Dulles,DC,408.08,450.76," 216,137 "
4,2021,MCI,Kansas City International,Kansas City,MO,342.63,378.47," 213,053 "
4,2021,SNA,John Wayne Airport-Orange County,Santa Ana,CA,334.43,369.41," 204,936 "
4,2021,DAL,Dallas Love Field,Dallas-Love Field,TX,278.31,307.42," 202,583 "
4,2021,CLE,Cleveland-Hopkins International,Cleveland,OH,295.22,326.10," 201,673 "
4,2021,OAK,Metro Oakland International,Oakland,CA,279.15,308.35," 200,137 "
4,2021,IND,Indianapolis International,Indianapolis,IN,340.29,375.88," 198,766 "
4,2021,MSY,Louis Armstrong New Orleans International,New Orleans,LA,281.04,310.43," 193,064 "
4,2021,SAT,San Antonio International,San Antonio,TX,338.53,373.94," 192,841 "
4,2021,PIT,Pittsburgh International,Pittsburgh,PA,325.72,359.79," 191,112 "
4,2021,SJU,Luis Munoz Marin International,San Juan,PR,264.09,291.72," 189,783 "
4,2021,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,313.71,346.53," 185,119 "
4,2021,CMH,John Glenn Columbus International,Columbus,OH,331.75,366.45," 169,279 "
4,2021,HOU,William P Hobby,Houston-Hobby,TX,289.55,319.83," 158,759 "
4,2021,BDL,Bradley International,Hartford,CT,348.65,385.12," 149,278 "
4,2021,RSW,Southwest Florida International,Fort Myers,FL,290.84,321.26," 145,234 "
4,2021,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,306.56,338.62," 138,930 "
4,2021,JAX,Jacksonville International,Jacksonville,FL,322.18,355.88," 136,835 "
4,2021,ONT,Ontario International,Ontario,CA,313.23,346.00," 133,763 "
4,2021,MKE,General Mitchell International,Milwaukee,WI,334.53,369.52," 128,618 "
4,2021,BUR,Bob Hope,Burbank,CA,258.97,286.06," 121,569 "
4,2021,RIC,Richmond International,Richmond,VA,344.44,380.47," 104,981 "
4,2021,OMA,Eppley Airfield,Omaha,NE,345.85,382.03," 103,299 "
4,2021,CHS,Charleston AFB/International,Charleston,SC,307.32,339.46," 103,220 "
4,2021,BUF,Buffalo Niagara International,Buffalo,NY,312.22,344.87," 99,498 "
4,2021,MEM,Memphis International,Memphis,TN,333.20,368.05," 96,749 "
4,2021,BOI,Boise Air Terminal,Boise,ID,337.32,372.60," 95,676 "
4,2021,ORF,Norfolk International,Norfolk,VA,366.01,404.30," 93,202 "
4,2021,ABQ,Albuquerque International Sunport,Albuquerque,NM,351.32,388.07," 93,085 "
4,2021,SDF,Louisville Muhammad Ali International,Louisville,KY,315.89,348.93," 88,827 "
4,2021,OGG,Kahului Airport,Kahului,HI,265.03,292.75," 87,156 "
4,2021,ANC,Ted Stevens Anchorage International,Anchorage,AK,446.59,493.30," 86,346 "
4,2021,OKC,Will Rogers World,Oklahoma City,OK,351.72,388.51," 85,569 "
4,2021,GRR,Gerald R. Ford International,Grand Rapids,MI,348.62,385.08," 84,779 "
4,2021,ELP,El Paso International,El Paso,TX,343.57,379.50," 84,067 "
4,2021,GEG,Spokane International,Spokane,WA,364.55,402.68," 81,039 "
4,2021,PVD,Rhode Island Tf Green International,Providence,RI,347.33,383.66," 78,143 "
4,2021,RNO,Reno/Tahoe International,Reno,NV,324.07,357.97," 77,297 "
4,2021,TUS,Tucson International,Tucson,AZ,377.68,417.19," 72,129 "
4,2021,DSM,Des Moines International,Des Moines,IA,338.35,373.75," 68,593 "
4,2021,LGB,Long Beach Airport,Long Beach,CA,256.41,283.23," 66,667 "
4,2021,SYR,Syracuse Hancock International,Syracuse,NY,348.15,384.57," 64,393 "
4,2021,TUL,Tulsa International,Tulsa,OK,348.86,385.35," 63,276 "
4,2021,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,275.46,304.27," 63,095 "
4,2021,SAV,Savannah/Hilton Head International,Savannah,GA,337.45,372.75," 60,848 "
4,2021,ALB,Albany International,Albany,NY,362.83,400.78," 60,750 "
4,2021,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,336.96,372.20," 60,469 "
4,2021,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,396.95,438.47," 59,880 "
4,2021,HPN,Westchester County,White Plains,NY,377.68,417.18," 59,717 "
4,2021,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,261.53,288.88," 56,370 "
4,2021,TYS,McGhee Tyson,Knoxville,TN,382.33,422.32," 52,127 "
4,2021,GSP,Greenville-Spartanburg International,Greer,SC,376.21,415.56," 49,712 "
4,2021,PNS,Pensacola International,Pensacola,FL,361.64,399.46," 48,548 "
4,2021,MYR,Myrtle Beach International,Myrtle Beach,SC,267.54,295.53," 48,441 "
4,2021,LIH,Lihue Airport,Lihue,HI,252.65,279.08," 48,397 "
4,2021,FAT,Fresno Yosemite International,Fresno,CA,359.06,396.61," 46,134 "
4,2021,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,357.98,395.43," 45,445 "
4,2021,COS,City of Colorado Springs Municipal,Colorado Springs,CO,325.91,360.00," 45,269 "
4,2021,PWM,Portland International Jetport,Portland,ME,363.17,401.15," 44,250 "
4,2021,MSN,Dane County Regional-Truax Field,Madison,WI,420.02,463.95," 43,704 "
4,2021,AVL,Asheville Regional,Asheville,NC,293.31,323.99," 41,151 "
