
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"04Q","Tradewind Aviation",29632
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",279647
"1AQ","Via Airlines d/b/a Sterling Airways",14160
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",8248
"1EQ","KaiserAir, Inc.",8386
"1QQ","City Wings Inc dba Seaflight",15371
"1SQ","Star Marianas Air Inc.",71956
"1YQ","Air Charter, Inc d/b/a Air Flamenco",16293
"2E","Smokey Bay Air Inc.",15832
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",5202
"2JQ","Delux Public Charter LLC",675941
"2LQ","Tropic Ocean Airways LLC",3349
"2NQ","LIMA NY Corp d/b/a Fly The Whale",44294
"2O","Island Air Service",19439
"34Q","Polaris Aviation Solutions, LLC",9
"38Q","Key Lime Air Corporation",222747
"3AQ","Maritime Helicopters, Inc.",3718
"3BQ","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",30
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",5491
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",15071
"3KQ","Junipogo, LLC",686
"3M","Silver Airways",555583
"4B","Boutique Air",29395
"4W","Warbelow",18122
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",18449
"5X","United Parcel Service",0
"5Y","Atlas Air Inc.",12235
"6F","FOX AIRCRAFT, LLC",22665
"7H","NEW PACIFIC AIRLINES",182822
"7S","Ryan Air f/k/a Arctic Transportation",6173
"8C","Air Transport International",18
"8E","Bering Air Inc.",115848
"8V","Wright Air Service",78219
"9E","Endeavor Air Inc.",11781194
"9K","Cape Air",326083
"9X","Southern Airways Express, dba Mokulele Airlines",430379
"AA","American Airlines Inc.",130925997
"ABX","ABX Air Inc",0
"AMQ","Ameristar Air Cargo",1163
"AN","ADVANCED AIR, LLC",43243
"AS","Alaska Airlines Inc.",32975098
"B6","JetBlue Airways",32194716
"BAS","Baranautica Air Service LLC",278
"C5","CommuteAir LLC dba CommuteAir",3076600
"DL","Delta Air Lines Inc.",136894445
"ELL","Ellis Air Taxi Inc.",85
"EM","Empire Airlines Inc.",0
"F9","Frontier Airlines Inc.",27911707
"FX","Federal Express Corporation",0
"G4","Allegiant Air",17383907
"G7","GoJet Airlines LLC d/b/a United Express",1776918
"GCA","Global Crossing Airlines, Inc.",43243
"GCH","Grand Canyon Helicopters",0
"GFQ","Gulf And Caribbean Cargo",0
"GQQ","Executive Express dba Ravn Connect",2551
"GV","Grant Aviation",211213
"HA","Hawaiian Airlines Inc.",9987394
"I4","Scott Air LLC dba Island Air Express",29608
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",63258
"JRQ","KENAI AVIATION OPERATIONS, LLC",7271
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",34752
"K3","Venture Travel LLC d/b/a Taquan Air Service",6631
"KAH","Kenmore Air Harbor",62702
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",16125
"KD","Western Global",0
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",10411
"L2","Lynden Air Cargo Airlines",0
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",315771
"M6","Amerijet International",0
"MQ","Envoy Air",13399718
"MX","Breeze Aviation Group DBA  Breeze",2833354
"N8","National Air Cargo Group Inc d/ba National Airlines",6692
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",26755
"NK","Spirit Air Lines",38927341
"OH","PSA Airlines Inc.",11276497
"OO","SkyWest Airlines Inc.",36980408
"PAF","Pathfinder Aviation",374
"PFQ","Asia Pacific",0
"PO","Polar Air Cargo Airways",0
"PT","Piedmont Airlines",4094325
"Q5","40-Mile Air",944
"QX","Horizon Air",4253910
"RVQ","Reeve Air Alaska, LLC",3492
"SEB","Seaborne Virgin Islands, Inc.",38678
"SNK","Spernak Airways Inc.",4912
"SY","Sun Country Airlines d/b/a MN Airlines",4280980
"TQ","Tailwind Air, LLC",4973
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",102890703
"V8","Iliamna Air Taxi",11402
"VI","Vieques Air Link Inc.",46875
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",8292
"WN","Southwest Airlines Co.",167580040
"WST","Friday Harbor Seaplanes",3481
"X4","Air Excursions LLC",8173
"X9","Omni Air International LLC",13115
"XP","TEM Enterprises dba  Avelo Airlines",2296409
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",78481
"YV","Mesa Airlines Inc.",5390749
"YX","Republic Airline",16359042
"Z3Q","PM Air, LLC",40878
"ZW","Air Wisconsin Airlines Corp",2347096
"All Rows","All Rows (including those not displayed)",822215863
